hotel_city,hotel_name,hotel_score,hotel_desc,hotel_url
Bayonne,Villa la Renaissance,9.3,Deluxe Double Room,https://www.booking.com/hotel/fr/villa-la-renaissance-bayonne.en-gb.html
Bayonne,Hôtel Villa KOEGUI Bayonne,9.0,Superior Room,https://www.booking.com/hotel/fr/villa-koegui-bayonne.en-gb.html
Bayonne,Hôtel Le Bayonne,7.8,Classic Double Room,https://www.booking.com/hotel/fr/le-bayonne-ha-tel.en-gb.html
Bayonne,Temporesidence Cathedrale,7.9,Superior Studio,https://www.booking.com/hotel/fr/temporesidence-cathedrale.en-gb.html
Bayonne,Okko Hotels Bayonne Centre,8.2,Classic Room,https://www.booking.com/hotel/fr/okko-hotels-bayonne-centre.en-gb.html
Bayonne,Hôtel des Basses Pyrénées - Bayonne,8.5,Prestige Double or Twin Room,https://www.booking.com/hotel/fr/des-basses-pyrenees.en-gb.html
Bayonne,Hôtel Mercure Bayonne Centre Le Grand Hotel,8.1,Classic Double Room,https://www.booking.com/hotel/fr/bwlegrandhotel.en-gb.html
Bayonne,Hotel Loreak,7.9,Double Room,https://www.booking.com/hotel/fr/comfort-bayonne-biarritz.en-gb.html
Bayonne,Temporesidence Chateauneuf,7.3,Studio,https://www.booking.com/hotel/fr/temporesidence-chateauneuf.en-gb.html
Bayonne,Baiona,9.1,Apartment,https://www.booking.com/hotel/fr/baiona.en-gb.html
Bayonne,Campanile Bayonne,6.6,Triple Room (2 Adults + 1 Child under 10 years old),https://www.booking.com/hotel/fr/campanile-bayonne.en-gb.html
Bayonne,Boutique Hôtel Un Appart en Ville,8.9,One-Bedroom Apartment,https://www.booking.com/hotel/fr/un-appart-en-ville-bayonne1.en-gb.html
Bayonne,ibis Styles Bayonne,8.1,Standard Room with 1 Double Bed - Breakfast included,https://www.booking.com/hotel/fr/loustau.en-gb.html
Bayonne,Bayonne en plein cœur Centre Historique 2 chambres,8.9,Two-Bedroom Apartment,https://www.booking.com/hotel/fr/bayonne-en-plein-coeur-centre-historique-2-chambres.en-gb.html
Bayonne,Villa AJNA Bayonne,8.7,Deluxe Room,https://www.booking.com/hotel/fr/chambre-chinoise.en-gb.html
Bayonne,Baionakoa Résidence,8.9,Studio,https://www.booking.com/hotel/fr/baionakoa-residence.en-gb.html
Bayonne,T2 BASQUE BAYONNE,7.6,One-Bedroom Apartment,https://www.booking.com/hotel/fr/t2-basque-bayonne.en-gb.html
Bayonne,"Appartement Bayonne, 3 pièces, 4 personnes - FR-1-239-736",8.7,Apartment,https://www.booking.com/hotel/fr/appartement-bayonne-3-pieces-4-personnes-fr-1-239-736.en-gb.html
Bayonne,T2 au coeur de Bayonne,8.6,One-Bedroom Apartment,https://www.booking.com/hotel/fr/t2-au-coeur-de-bayonne.en-gb.html
Bayonne,Agréable Maison T4 Classée 3 étoiles,6.8,Three-Bedroom House,https://www.booking.com/hotel/fr/agreable-maison-t4-classee-3-etoiles-bayonne.en-gb.html
Bayonne,Suite océan,,Double Room,https://www.booking.com/hotel/fr/suite-ocean.en-gb.html
Bayonne,Bakea St Esprit T3 rénové,6.4,Two-Bedroom Apartment,https://www.booking.com/hotel/fr/bakea-st-esprit-t3-renove.en-gb.html
Bayonne,Appartement au cœur du centre historique,,One-Bedroom Apartment,https://www.booking.com/hotel/fr/appartement-au-coeur-du-centre-historique-bayonne.en-gb.html
Bayonne,Duplex Typique Centre Bayonne,9.2,Standard Apartment,https://www.booking.com/hotel/fr/duplex-typique-centre-bayonne.en-gb.html
Bayonne,ibis budget Bayonne,7.7,Triple Room,https://www.booking.com/hotel/fr/ibis-budget-bayonne.en-gb.html
Montauban,Castel Bois Marie,9.3,Deluxe King Suite,https://www.booking.com/hotel/fr/castel-bois-marie.en-gb.html
Montauban,Abbaye des Capucins Spa & Resort,8.2,Classic Double Room,https://www.booking.com/hotel/fr/abbaye-des-capucins-spa-and-resort.en-gb.html
Montauban,Manoir de la Gravette Maison d'Hôtes,9.6,Deluxe Double Room,https://www.booking.com/hotel/fr/le-manoir-de-la-gravette.en-gb.html
Montauban,room five MONTAUBAN,9.5,One-Bedroom Apartment,https://www.booking.com/hotel/fr/room-five-montauban.en-gb.html
Montauban,Brit Hotel Confort Montauban,7.6,Standard Double Room,https://www.booking.com/hotel/fr/deltour-montauban-city.en-gb.html
Montauban,Le Clos de Saint Amour,8.8,Family Room Cupidon,https://www.booking.com/hotel/fr/le-clos-de-saint-amour.en-gb.html
Aix-en-Provence,Renaissance Aix-en-Provence Hotel,8.2,Superior King Room,https://www.booking.com/hotel/fr/renaissance-aix-en-provence.en-gb.html
Toulouse,Pullman Toulouse Centre Ramblas,8.4,Superior Twin Room,https://www.booking.com/hotel/fr/toulouse-centre.en-gb.html
Collioure,Hôtel La Casa Pairal,8.8,Collection Double Room,https://www.booking.com/hotel/fr/hotelcasapairal.en-gb.html
Montauban,Kyriad Montauban Sud - Albasud,6.5,Double Room,https://www.booking.com/hotel/fr/hoteletrestaurantcampanilemontauban.en-gb.html
Montauban,Les Loges de Montauban,9.0,One-Bedroom Apartment,https://www.booking.com/hotel/fr/les-loges-de-montauban.en-gb.html
Montauban,Hotel Kyriad Montauban,7.4,Double Room,https://www.booking.com/hotel/fr/kyriad-montauban-montauban.en-gb.html
Montauban,En toute intimité dans le centre historique,9.0,One-Bedroom Apartment,https://www.booking.com/hotel/fr/en-toute-intimite-dans-le-centre-historique.en-gb.html
Montauban,Domaine de Belcayre,8.9,Double Room,https://www.booking.com/hotel/fr/domaine-de-belcayre.en-gb.html
Aix-en-Provence,Les Lodges Sainte-Victoire Hotel & Spa,9.0,Deluxe Double Room with Free Spa Access,https://www.booking.com/hotel/fr/les-lodges-sainte-victoire.en-gb.html
Aix-en-Provence,Villa Saint-Ange,9.3,Standard Double or Twin Room,https://www.booking.com/hotel/fr/villa-saint-ange.en-gb.html
Aix-en-Provence,Le Pigonnet - Esprit de France,8.5,Classic Double Room,https://www.booking.com/hotel/fr/le-pigonnet.en-gb.html
Aix-en-Provence,Château de la Gaude,9.0,Deluxe Room,https://www.booking.com/hotel/fr/chateau-de-la-gaude.en-gb.html
Aix-en-Provence,Villa Gallici Hôtel & Spa,9.1,Classic Double Room with Free Spa Access,https://www.booking.com/hotel/fr/villagallici.en-gb.html
Aix-en-Provence,Aquabella Hôtel & Spa,8.4,Comfort Double Room,https://www.booking.com/hotel/fr/hotel-aquabella.en-gb.html
Toulouse,La Cour des Consuls Hotel and Spa Toulouse - MGallery,8.4,Classic King Room,https://www.booking.com/hotel/fr/la-cour-des-consuls-and-spa-toulouse.en-gb.html
Toulouse,Mercure Toulouse Centre Saint-Georges,8.0,Standard Room with King Size Bed,https://www.booking.com/hotel/fr/mercure-toulouse-saint-georges.en-gb.html
Toulouse,"Crowne Plaza Toulouse, an IHG Hotel",8.0,Standard Queen Room - Accessible,https://www.booking.com/hotel/fr/crowne-plaza-toulouse-toulouse.en-gb.html
Toulouse,Néméa Appart'Hôtel Résidence Concorde,8.0,Standard Double Room,https://www.booking.com/hotel/fr/residence-concorde.en-gb.html
Toulouse,Villa du Taur,8.6,Premium Double Room,https://www.booking.com/hotel/fr/hotel-junior.en-gb.html
Toulouse,Boutique Hotel SOCLO,9.6,Superior Double Room,https://www.booking.com/hotel/fr/soclo.en-gb.html
Collioure,Les Roches Brunes,9.0,Double Room with Sea View,https://www.booking.com/hotel/fr/les-roches-brunes-collioure.en-gb.html
Collioure,Le Relais Des Trois Mas,8.7,Comfort Double Room Without Balcony,https://www.booking.com/hotel/fr/le-relais-des-trois-mas.en-gb.html
Collioure,L'équinoxe,9.4,Three-Bedroom Apartment,https://www.booking.com/hotel/fr/l-39-equinoxe.en-gb.html
Collioure,Le Machado,8.6,Deluxe Apartment,https://www.booking.com/hotel/fr/le-machado.en-gb.html
Collioure,Mas de la Croette Collioure,,Villa with Private Pool,https://www.booking.com/hotel/fr/mas-de-la-croette-collioure.en-gb.html
Montauban,2 appartements Rue du greffe,8.6,One-Bedroom Apartment,https://www.booking.com/hotel/fr/authentic-night-montauban.en-gb.html
Montauban,Suite privée avec piscine,8.1,One-Bedroom Apartment,https://www.booking.com/hotel/fr/suite-privee-avec-piscine.en-gb.html
Montauban,COSYment parfait,8.1,Apartment,https://www.booking.com/hotel/fr/cosyment-parfait.en-gb.html
Montauban,Logement 2 chambres - Hypercentre Montauban,,Two-Bedroom Apartment,https://www.booking.com/hotel/fr/montauban.en-gb.html
Montauban,Charmant appartement 6 personnes - 1 min à pied hypercentre Montauban,,Two-Bedroom Apartment,https://www.booking.com/hotel/fr/appartement-chourfi.en-gb.html
Montauban,In Town by BNB Conciergerie Montauban,9.0,Studio Apartment,https://www.booking.com/hotel/fr/le-in-town-by-bnb-conciergerie-montauban.en-gb.html
Aix-en-Provence,Hôtel Cézanne Boutique-Hôtel,8.1,Superior Double Room,https://www.booking.com/hotel/fr/cezanne-aix-en-provence.en-gb.html
Aix-en-Provence,Negrecoste Hôtel & Spa,7.7,Classic Double Room,https://www.booking.com/hotel/fr/grand-negre-coste.en-gb.html
Aix-en-Provence,Golden Tulip Aix en Provence,8.0,Superior Queen Room,https://www.booking.com/hotel/fr/golden-tulip-aix-en-provence.en-gb.html
Aix-en-Provence,Grand Hôtel Roi René Aix en Provence Centre - MGallery,7.8,Classic Double Room,https://www.booking.com/hotel/fr/grand-mercure-roi-rene.en-gb.html
Aix-en-Provence,Aparthotel Adagio Aix-en-Provence Centre,8.4,Superior Apartment with Balcony,https://www.booking.com/hotel/fr/pierre-vacances-city-centre.en-gb.html
Aix-en-Provence,Maison Jalon,9.6,Double Room with Pool View,https://www.booking.com/hotel/fr/maison-jalon.en-gb.html
Toulouse,Grand Hotel de l'Opera - BW Premier Collection,8.3,Prestige Double Room,https://www.booking.com/hotel/fr/grand-de-l-opera-toulouse.en-gb.html
Toulouse,Odalys City Toulouse Colombélie,8.3,Standard Studio (2 Adults),https://www.booking.com/hotel/fr/odalys-appart-39-colombelie.en-gb.html
Toulouse,Best Western Hotel Innes Toulouse Centre,8.1,Classic Twin Room,https://www.booking.com/hotel/fr/best-western-athenee.en-gb.html
Toulouse,Mercure Toulouse Centre Wilson Capitole,8.3,Classic Â Double Room,https://www.booking.com/hotel/fr/mercure-toulouse-wilson.en-gb.html
Toulouse,Hôtel de Brienne,8.2,Family Room (2 Adults + 1 Child under 12),https://www.booking.com/hotel/fr/de-brienne-toulouse.en-gb.html
Collioure,Le Mas des Citronniers,8.0,Classic Double Room,https://www.booking.com/hotel/fr/lesmasdescitronniers.en-gb.html
Collioure,La Frégate,8.2,Superior Double Room,https://www.booking.com/hotel/fr/la-fra-c-gate-collioure.en-gb.html
Collioure,Hotel Méditerranée,7.7,Double Room,https://www.booking.com/hotel/fr/mediterranee-collioure.en-gb.html
Collioure,Le Madeloc Hôtel & Spa,8.8,Standard Room,https://www.booking.com/hotel/fr/madeloc.en-gb.html
Collioure,Résidence du Soleil,7.8,Apartment without Balcony,https://www.booking.com/hotel/fr/residence-du-soleil-collioure.en-gb.html
Collioure,Hôtel Princes de Catalogne,7.9,Standard Double or Twin Room,https://www.booking.com/hotel/fr/princes-de-catalogne.en-gb.html
Montauban,L'Escale des Libellules by BNB Conciergerie Mtban,10,Apartment,https://www.booking.com/hotel/fr/escale-des-libellules-by-bnb-conciergerie-mtban.en-gb.html
Montauban,Moustier,8.6,One-Bedroom Apartment,https://www.booking.com/hotel/fr/moustier.en-gb.html
Montauban,L'intimiste by BNB Conciergerie Montauban,8.5,Studio with Sofa Bed,https://www.booking.com/hotel/fr/intimiste-by-bnb-conciergerie-montauban.en-gb.html
Montauban,Les Chalets du Manoir,9.1,Double Room,https://www.booking.com/hotel/fr/les-chalets-du-manoir.en-gb.html
Montauban,B&B HOTEL Montauban,7.8,Standard Double Room,https://www.booking.com/hotel/fr/b-amp-b-montauban.en-gb.html
Montauban,Kyriad Direct Montauban Centre,6.9,1 lit double + 1 lit simple superposé,https://www.booking.com/hotel/fr/kyriad-direct-montauban-centre.en-gb.html
Aix-en-Provence,Hôtel Birdy by Happyculture,8.0,Standard Twin Room,https://www.booking.com/hotel/fr/royal-mirabeau.en-gb.html
Aix-en-Provence,La Bastide de Ganay,8.9,Double Room,https://www.booking.com/hotel/fr/la-bastide-de-ganay-aix-en-provence123456789101112.en-gb.html
Aix-en-Provence,Le Mas D'Entremont,8.2,Double Room,https://www.booking.com/hotel/fr/mas-d-entremont.en-gb.html
Aix-en-Provence,Odalys City Aix en Provence Les Floridianes,7.8,Superior Studio with Terrace (2 People),https://www.booking.com/hotel/fr/les-floridianes.en-gb.html
Aix-en-Provence,Domaine de Saint Clair,9.7,Deluxe King Suite,https://www.booking.com/hotel/fr/domaine-de-saint-clair.en-gb.html
Toulouse,Hotel Palladia,8.0,Privilege Double Room,https://www.booking.com/hotel/fr/palladia.en-gb.html
Toulouse,L'Initial,8.0,Double Room,https://www.booking.com/hotel/fr/linitial-toulouse.en-gb.html
Toulouse,Citiz Hotel,7.8,Standard Double Room,https://www.booking.com/hotel/fr/citiz-toulouse.en-gb.html
Toulouse,Courtyard by Marriott Toulouse Airport,8.3,Deluxe Twin Room,https://www.booking.com/hotel/fr/courtyard-by-marriott-toulouse.en-gb.html
Toulouse,Zenitude Hôtel-Résidences Le Parc de l'Escale,7.7,Studio,https://www.booking.com/hotel/fr/aparthotel-adagio-toulouse-aeroport.en-gb.html
Toulouse,Résidence de Diane - Toulouse,8.2,Studio double bed,https://www.booking.com/hotel/fr/residence-de-diane.en-gb.html
Collioure,Hotel Le Bon Port,8.1,Double Room with Sea View,https://www.booking.com/hotel/fr/le-bon-port.en-gb.html
Collioure,Ibanova Appartements,8.4,Studio Apartment,https://www.booking.com/hotel/fr/ibanova.en-gb.html
Collioure,Le Clos Saint Elme,7.9,Large Double Room,https://www.booking.com/hotel/fr/les-lauriers-roses-collioure.en-gb.html
Collioure,Appartement fonctionnel hauteurs de Collioure,7.8,One-Bedroom Apartment,https://www.booking.com/hotel/fr/appartement-fonctionnel-a-collioure.en-gb.html
Collioure,Les Chênes-lièges d'Ambeille,8.0,One-Bedroom Apartment,https://www.booking.com/hotel/fr/chenes-lieges.en-gb.html
Collioure,Magnifique appartement proche centre Collioure,8.0,Two-Bedroom Apartment,https://www.booking.com/hotel/fr/magnifique-appartement-proche-centre-collioure.en-gb.html
Montauban,ibis budget Montauban Les Chaumes,7.7,Triple Room,https://www.booking.com/hotel/fr/ibis-budget-montauban-les-chaumes.en-gb.html
Montauban,Premiere Classe Montauban,5.2,Triple Room with 1 Double + 1 Single Bed,https://www.booking.com/hotel/fr/hotelpremiereclasse.en-gb.html
Aix-en-Provence,Novotel Aix-en-Provence Pont de L'Arc,7.0,Classic Room with One Double Bed and One Sofa,https://www.booking.com/hotel/fr/aix-en-provence-pont-de-l-arc-fenouilleres.en-gb.html
Aix-en-Provence,Novotel Aix-en-Provence Beaumanoir,7.0,Family Room,https://www.booking.com/hotel/fr/novotel-aix-beaumanoir.en-gb.html
Aix-en-Provence,Belvoir Sissi exclusif Appart piscine chauffée 10 min centre AixenPc,9.9,Apartment - Ground Floor,https://www.booking.com/hotel/fr/belvoir-sissi.en-gb.html
Aix-en-Provence,Bastide des Lauves,4.5,Deluxe Villa,https://www.booking.com/hotel/fr/bastide-des-lauves.en-gb.html
Aix-en-Provence,Hôtel Le Mozart,8.4,Double Room with Shower,https://www.booking.com/hotel/fr/le-mozart.en-gb.html
Aix-en-Provence,thecamp hôtel Premium Lodge- Aix en Provence,8.0,Twin Room,https://www.booking.com/hotel/fr/thecamp-amp-lodges.en-gb.html
Toulouse,Novotel Toulouse Purpan Aéroport,7.8,Classic Double Room,https://www.booking.com/hotel/fr/novotel-toulouse-purpan.en-gb.html
Toulouse,The Social Hub Toulouse,9.6,Queen Room,https://www.booking.com/hotel/fr/tsh-toulouse.en-gb.html
Toulouse,Aparthotel Adagio Toulouse Centre Ramblas,8.8,One-Bedroom Apartment (4 persons),https://www.booking.com/hotel/fr/residence-parthenon.en-gb.html
Toulouse,Novotel Toulouse Centre Wilson,8.2,Superior Double Room,https://www.booking.com/hotel/fr/novotel-toulouse-centre-wilson.en-gb.html
Toulouse,Privilège Appart Hôtel Saint Exupéry,8.1,Studio (2 Adults),https://www.booking.com/hotel/fr/privilege-appart-saint-exupery.en-gb.html
Toulouse,DOMITYS LES PAGELLES,8.6,Standard Apartment,https://www.booking.com/hotel/fr/domitys-les-pagelles.en-gb.html
Collioure,Résidence Saint Vincent,8.0,Studio third floor,https://www.booking.com/hotel/fr/residence-saint-vincent.en-gb.html
Collioure,location Coma Chéric,9.1,Three-Bedroom Apartment,https://www.booking.com/hotel/fr/location-coma-cheric.en-gb.html
Collioure,Duplex quartier piéton,8.2,Two-Bedroom Apartment,https://www.booking.com/hotel/fr/duplex-quartier-pieton.en-gb.html
Collioure,Le charme de Collioure,7.2,One-Bedroom Apartment,https://www.booking.com/hotel/fr/le-charme-de-collioure.en-gb.html
Collioure,Appartement de charme à 50m de la plage de sable,8.5,Apartment with Sea View,https://www.booking.com/hotel/fr/appartement-de-charme-a-50m-de-la-plage-de-sable.en-gb.html
Aix-en-Provence,N.8 LIFESTYLE SUITES,9.1,Deluxe Suite,https://www.booking.com/hotel/fr/n8-lifestyle-suites-aix-en-provence.en-gb.html
Toulouse,Appart Hôtel Clément Ader,8.8,One-Bedroom and Living Room with a Sofa Bed Apartment ,https://www.booking.com/hotel/fr/privilege-appart-clement-ader.en-gb.html
Collioure,Collioure,8.4,Apartment,https://www.booking.com/hotel/fr/collioure-1-et-etage.en-gb.html
Collioure,Hôtel Triton,7.3,Street Side Double Room ,https://www.booking.com/hotel/fr/triton.en-gb.html
